KEY,Korean,English,English_for_Translate,Japanese,ChineseSimplified,ChineseTraditional,Spanish_Google,Spanish,
MISSILE_027_NAME,알라봉,RPG-7,RPG-7,アッラー棒,RPG-7,RPG-7,RPG-7,RPG-7,
MISSILE_028_NAME,쿼드라누크,Quadra-Nuke,Quadra-Nuke,クアドラ原子力,夸核弹,誇核彈,Quadra Nuke,Quadra Nuke,
MISSILE_029_NAME,철갑탄,Piercing Bullet,Piercing Bullet,徹甲弾,穿刺子弹,穿刺子彈,Piercing bala,bala acorazada,
MISSILE_030_NAME,잉여탄,Bum,Bum,余剰弾,屁股,屁股,Culo,Culo,
MISSILE_031_NAME,토마호크,Tomahawk,Tomahawk,トマホーク,钺,鉞,Tomahawk,Tomahawk,
MISSILE_032_NAME,나무늘보가족,Sloth Family,Sloth Family,ナマケモノの家族,懒惰家族,懶惰家族,Familia pereza,Familia Perezosa,
MISSILE_033_NAME,유리병배,Ship In a Jar,Ship In a Jar,ガラス洋ナシ,船舶在一个罐子里,船舶在一個罐子裡,Enviar En un tarro,Barco en Un Tarro,
MISSILE_034_NAME,펭귄탄,Penguin,Penguin,ペンギン弾,企鹅,企鵝,Pingüino,Pingüino,
MISSILE_035_NAME,죽창탄,Deadly Bamboo,Deadly Bamboo,竹槍弾,致命竹,致命竹,bambú mortal,bambú mortal,
MISSILE_036_NAME,광자탄,Tesla Missile,Tesla Missile,光子弾,特斯拉导弹,特斯拉導彈,Tesla misiles,Tesla misiles,
MISSILE_037_NAME,개사일,Puppy,Puppy,社である,小狗,小狗,Perrito,Perrito,
MISSILE_038_NAME,팻보이,Fat Boy,Fat Boy,ファットボーイ,肥仔,肥仔,Gordo,Gordito,
MISSILE_039_NAME,블랙홀,Black Hole,Black Hole,ブラックホール,黑洞,黑洞,Calabozo,Calabozo,
MISSILE_040_NAME,에일리언탄,Alien,Alien,エイリアン弾,外侨,外僑,Extraterrestre,Extraterrestre,
MISSILE_041_NAME,해파리탄,Jellyfish,Jellyfish,クラゲ弾,海蜇,海蜇,Medusa,Medusa,
MISSILE_042_NAME,스컬탄,Skull,Skull,スカル弾,头骨,頭骨,Cráneo,Cráneo,
MISSILE_043_NAME,엑스칼리버탄,Excalibur,Excalibur,エクスカリバー弾,神剑,神劍,Excalibur,Excalibur,
MISSILE_044_NAME,전기충격탄,Taser,Taser,電気ショック弾,泰瑟,泰瑟,Taser,Taser,
MISSILE_045_NAME,§시공의 폭풍탄$☜,§ Storm $☜,§ Storm $☜,§施工の嵐弾$☜,§风暴$☜,§風暴$☜,§ Tormenta $ ☜,§ Tormenta $ ☜,
MISSILE_046_NAME,내장포식자,Gut Eater,Gut Eater,内蔵捕食者,肠道食,腸道食,Gut Eater,Depredador de entraña,
MISSILE_047_NAME,상어탄,Sharky,Sharky,サメ弾,鲨鱼,鯊魚,Tiburón,Tiburón,
MISSILE_048_NAME,차르봄바,Tsar Bomba,Tsar Bomba,ツァーリ・ボンバ,沙皇炸弹,沙皇炸彈,Bomba del zar,Tsar Bomba,
MISSILE_049_NAME,스커드미사일,Scud Missile,Scud Missile,スカッドミサイル,飞毛腿导弹,飛毛腿導彈,misiles Scud,Misil Scud,
MISSILE_050_NAME,드릴탄,Driller,Driller,ドリル弾,钻床,鑽床,Taladrador,Taladrador,
MISSILE_051_NAME,전기톱,Shark,Shark,チェーンソー,鲨鱼,鯊魚,Tiburón,electrosierra,
MISSILE_052_NAME,ICBM,ICBM,ICBM,ICBM,洲际弹道导弹,洲際彈道導彈,ICBM,ICBM,
MISSILE_053_NAME,스텔스미사일,Stealth Missile,Stealth Missile,ステルスミサイル,隐形导弹,隱形導彈,stealth misiles,Misil Stealth,
MISSILE_054_NAME,에볼라 워리어,Ebola Stalker,Ebola Stalker,エボラ戦士,埃博拉病毒潜行者,埃博拉病毒潛行者,Ébola de Stalker,ébola guerrero,
MISSILE_055_NAME,데스메탈서퍼,Deathmetal Surfer,Deathmetal Surfer,デスメタルサーファー,死亡金属音乐冲浪,死亡金屬音樂衝浪,deathmetal Surfer,deathmetal Surfer,
MISSILE_056_NAME,파워피스트,Tomahawk,Tomahawk,パワーフィスト,钺,鉞,Tomahawk,Tomahawk,
MISSILE_057_NAME,레비아탄,Leviathan,Leviathan,レヴィアタン,利维坦,利維坦,Leviatán,Leviatán,
MISSILE_058_NAME,감염탄,Infest,Infest,感染弾,侵扰,侵擾,Infestar,infección,
MISSILE_059_NAME,운석탄,Meteor,Meteor,運石炭,流星,流星,Meteorito,Meteorito,
,,,,,,,,,
MISSILE_000_WORD,신병에게 지급되는\n연습용 미사일,Practice Missile for freshmeat,Practice Missile for fresh meat,新兵に支給される\n練習用ミサイル,实践导弹鲜肉,實踐導彈鮮肉,Práctica del misil para la carne fresca,Misil práctico para la recluta,
MISSILE_001_WORD,저예산을 위한 미사일,Reduce upgrade cost\nof low effective missiles,Reduce upgrade cost of low effective missiles,予算削減ミサイル,减少低效益的导弹升级成本,減少低效益的導彈升級成本,Reducir el costo de la actualización de los misiles eficaces bajas,Reducir el costo de la actualización de los misiles eficaces bajas,
MISSILE_002_WORD,LV.3부터 스팀팩을\n빠르게 만들어준다,Use Stimapck more often at Lv.3,Use stimulant more often at Lv.3,LV.3からドーピングを迅速にしてくれる,在LV.3更频繁地使用兴奋剂,在LV.3更頻繁地使用興奮劑,El uso de estimulantes más a menudo en Lv.3,Usar estimulante más\nrapidamente en Lv.3,
MISSILE_003_WORD,LV.3부터 스팀팩의\n지속시간을 늘려준다,Increase Stimpack duration at Lv.3,Increase stimulant duration at Lv.3,LV.3からドーピングの持続時間を増やしてくれる,增加在LV.3兴奋剂时间,增加在LV.3興奮劑時間,Aumentar la duración estimulante en Lv.3,Aumentar la duración estimulante en Lv.3,
MISSILE_004_WORD,크고 아름다운 미사일을\n강화하는 미사일,This Missile upgrades\nBig Beautiful Missile,This Missile upgrades\n Big Beautiful Missile,大きな美しいミサイルを\n強化するミサイル,这种导弹升级的\n美丽的大导弹,這種導彈升級的\n美麗的大導彈,Este actualizaciones de misiles \n Gran misiles Hermosa,Este misil fortalecer Misil gran hermoso,
MISSILE_005_WORD,,,,,,,,,
MISSILE_006_WORD,포크는 머리에 꽂으라고 있는거다,Fork Demon's Head,Fork Demon's Head,フォークは頭に差し込んでとのことだ,叉恶魔头,叉惡魔頭,La cabeza de tenedor Demonio,Tenedor Para Cabeza,
MISSILE_007_WORD,초록색 맛 벌레,This worm taste green,This worm taste green,緑味虫,该蠕虫味道绿色,該蠕蟲味道綠色,Este gusano sabor verde,Este insecto se sazona verde,
MISSILE_008_WORD,미네랄이 남아도나?!,Missile made out of Minerals,Missile made out of Minerals,ミネラルを撃つと？ ！,导弹做出来的矿物,導彈做出來的礦物,Misil hecho de Minerales,?No te faltas Minerales?,
MISSILE_009_WORD,이 고대 용은 거대하고\n무자비하며 매우 흉악하다!,"This Ancient Dragon is Overwhelming,\nAgressive and Unforgiving! ","This Ancient Dragon is Overwhelming,\n Agressive and Unforgiving! ",大蛇が進化したのミサイル,这个古老的龙是压倒性的，\n侵略性无情！,這個古老的龍是壓倒性的，\n侵略性無情！,"Este antiguo Dragón es abrumador, \n agresivo e implacable!","!Este dragón antiguo es abrumador, agresivo e implacable!",
MISSILE_010_WORD,화약 냄새가 가득한 재래식 폭탄,Traditional bomb filled with gunpowder,Traditional bomb filled with gunpowder,火薬の匂いがいっぱい従来爆弾,传统的炸弹装满火药,傳統的炸彈裝滿火藥,bomba tradicional lleno de pólvora,bomba tradicional lleno de pólvora,
MISSILE_011_WORD,보병들에게 유용한 미사일,Useful missile for Infantry,Useful missile for Infantry,歩兵に有用なミサイル,有用的导弹步兵,有用的導彈步兵,misil Útil para la infantería,misil Útil para la infantería,
MISSILE_012_WORD,벌처럼 쏴라,Sting like a bee,Sting like a bee,蜂のように放つ,刺像蜜蜂,刺像蜜蜂,Picar como una abeja,Pica como una abeja,
MISSILE_013_WORD,마린은 주먹,Five Finger Death Punch,Five Finger Death Punch,マリンは拳,五个手指死亡冲床,五個手指死亡沖床,Golpe mortal de cinco dedos,Golpe mortal de cinco dedos,
MISSILE_014_WORD,장갑유닛들을 강하게\n해주는 효과가 있다,Armor Unit powers are increased,Armor Unit powers are increased,手袋ユニットを強く\nしてくれる効果がある,装甲单位的力量增加,裝甲單位的力量增加,La unidad se armadura se incrementan,La unidad de armadura se fortalece,
MISSILE_015_WORD,스팀팩에 좋은 미사일,This one upgrades Stimpack's efficiency,This one upgrades Stimulant's efficiency,ドーピングに良いミサイル,这一次升级兴奋剂的工作效率,這一次升級興奮劑的工作效率,Éste eleva la eficiencia de estimulantes,Este Misil fortalece stimulante,
MISSILE_016_WORD,,,,,,,,,
MISSILE_017_WORD,사실 다른 미사일도 유도탄,Actually every Missiles are homing,Actually every Missiles are homing...,事実、他のミサイルも誘導弾,其实每一个导弹寻...,其實每一個導彈尋...,En realidad cada misiles son Homing ...,"Actualmente, otros misiles son teledirigidos",
MISSILE_018_WORD,이게 지네...,Gross centipede,Gross centipede,これムカデ...,蜈蚣毛,蜈蚣毛,ciempiés bruto,ciempiés bruto,
MISSILE_019_WORD,아주 치명적인 맛을\n자랑하는 미사일,Very Delicious,Very Delicious,おいしいミサイル,非常美味,非常美味,Muy deliciosa,Muy deliciosa,
MISSILE_020_WORD,이 미사일은 느릴수도 있고\n빠를수도 있다,"""""","""""","""""","""""","""""","""""","""""",
MISSILE_021_WORD,묵직하다,Fact Only,Fact Only,重たい,事实上，只有,事實上，只有,Sólo hecho,Sólo verdad,
MISSILE_022_WORD,,,,,,,,,
MISSILE_023_WORD,황금 미네랄을 드랍하는\n아주 훌륭한 미사일,Great Missile dropping\ngolden minerals,Great Missile dropping\n golden minerals,金ミネラルをドロップする\n非常に優れたミサイル,大弹落下\n黄金矿产,大彈落下\n黃金礦產,Gran caída de misiles \n minerales de oro,Misil gran cayendo de oro,
MISSILE_024_WORD,얼굴을 씹어먹는 미시일,Missile eating human face,Missile eating human face,顔を噛んで食べるミクロこと,导弹吃人脸,導彈吃人臉,Misiles comer cara humana,Misil comiendo cara humana,
MISSILE_025_WORD,탈출한 실험체가\n다시 잡혀왔습니다,LAB Thingy Escaped!\nand...recaptured,LAB Thingy Escaped!\nand...recaptured,脱出した実験体が、\nもう一度取れてきました,LAB啄逃逸！\n和......抓回,LAB啄逃逸！ \n和......抓回,LAB Thingy escapado! \ny ... recapturado,LAB Thingy escapado! \ny ... recapturado,
MISSILE_026_WORD,성능도 폐기물...,This one looks useless...,This one looks useless...,性能も廃棄物...,这个看起来没用...,這個看起來沒用...,Éste parece inútil ...,Éste parece inútil ...,
MISSILE_027_WORD,,,,,,,,,
MISSILE_028_WORD,4배로 아픈 미사일,This one hurts 4 times,This one hurts 4 times,4倍の病気ミサイル,这一次伤害4次,這一次傷害4次,Éste duele 4 veces,Éste le duele cuatrotanto,
MISSILE_029_WORD,토실토실한 미사일,Bonny Missile,Bonny Missile,トシルトシルたミサイル,邦尼导弹,邦尼導彈,Bonny misiles,Bonny misiles,
MISSILE_030_WORD,잉여도 휴먼이야 휴먼,Get a job or something...,Get a job or something...,余剰もヒューマンだよヒューマン,找工作什么的...,找工作什麼的...,Conseguir un trabajo o algo ...,Conseguir un trabajo o algo ...,
MISSILE_031_WORD,,,,,,,,,
MISSILE_032_WORD,가-족같은 미사일,We are family,We are family,が - 家族のようなミサイル,我们是家人,我們是家人,Somos familia,Somos familia,
MISSILE_033_WORD,기념품샵에서 산 미사일,Bought at souvenir shop,Bought at souvenir shop,お土産ショップで買ったミサイル,在纪念品商店买,在紀念品商店買,Comprado en una tienda de recuerdos,Comprado en una tienda de recuerdos,
MISSILE_034_WORD,이 펭귄은\n미네랄을 퍼줍니다,Mighty Penguin gives minerals,Mighty Penguin gives minerals,このペンギンは、\nミネラルをファーます,全能企鹅给矿,全能企鵝給礦,Pingüino poderoso da minerales,Pingüino poderoso da minerales,
MISSILE_035_WORD,너도 한방\n나도 한방,Stab first\nThink later,Stab first Think later,お前漢方\n私漢方,刺第一后来想想,刺第一後來想想,Puñalada primera Piense más adelante,puñalada primera Pensar luego,
MISSILE_036_WORD,,,,,,,,,
MISSILE_037_WORD,댕댕탄,Doggie Missile,Doggie Missile,デンデン弾,狗狗导弹,狗狗導彈,perrito del misil,Misil perrito,
MISSILE_038_WORD,화약 냄새가 가득한 재래식 폭탄,Traditional bomb filled with gunpowder,Traditional bomb filled with gunpowder,火薬の匂いがいっぱい従来爆弾,传统的炸弹装满火药,傳統的炸彈裝滿火藥,bomba tradicional lleno de pólvora,bomba tradicional lleno de pólvora,
MISSILE_039_WORD,퀘스트: 검정 포탈을 모아라,Quest: Collect Black Portal,Quest: Collect Black Portal,クエスト：黒ポータルを集めよう,任务：收集黑暗之门,任務：收集黑暗之門,Búsqueda: Suma Portal Negro,búsqueda:Congrega Portal Negro,
MISSILE_040_WORD,우주 최상위 포식자,Universe top predator,Universe top predator,宇宙最上位捕食者,宇宙顶级捕食者,宇宙頂級捕食者,Universo depredador superior,Depredador En Universo,
MISSILE_041_WORD,알록달록,Colorful,Colorful,,,,Vistoso,Vistoso,
MISSILE_042_WORD,로스트 소울,Lost Soul,Lost Soul,ロストソウル,丢了魂,丟了魂,Alma perdida,Alma perdida,
MISSILE_043_WORD,약속된 승리의 미사일,Promised Victorious Missile,Promised Victorious Missile,約束された勝利のミサイル,许胜利导弹,許勝利導彈,Prometido misiles Victorioso,Misil victorioso prometido,
MISSILE_044_WORD,전설 미사일들의\n업그레이드 비용을 절감한다,Reduce upgrade cost\nof Legendary missiles,Reduce upgrade cost of Legendary missiles,伝説ミサイルの\nアップグレードのコストを削減する,减少传奇导弹的升级成本,減少傳奇導彈的升級成本,Reducir el costo de la actualización de los misiles de leyenda,Reducir el costo de la actualización de los misiles de leyenda,
MISSILE_045_WORD,미접속 미네랄을 모아★시공의 폭풍으로★\n☞레스토랑☜의 음식 지급! §,Collect Minerals while playing Storm,Collect Minerals while playing Storm,未接続のミネラルを集め★施工の嵐に★\n☞レストラン☜の食べ物支給！ §,收集矿物，而玩风暴,收集礦物，而玩風暴,Recoger minerales durante la reproducción de la tormenta,Recoge minerales durante la tormenta,
MISSILE_046_WORD,공중 때려잡는 생체 미사일,Bio Missile for Airship,Bio Missile for Airship,公衆虐殺生体ミサイル,生物导弹飞艇,生物導彈飛艇,Bio Misil para dirigible,Bio Misil para dirigible,
MISSILE_047_WORD,바다에서 잡아온 미사일,Missile caught in the sea,Missile caught in the sea,海から来たミサイル,导弹夹在海,導彈夾在海,Misiles capturados en alta mar,Misiles capturados en alta mar,
MISSILE_048_WORD,크고 아름다운 미사일의 원조,Original Big Beautiful Missile,Original Big Beautiful Missile,大きな美しいミサイルの援助,原来大美女导弹,原來大美女導彈,"Original, hermoso grande del misil",Fundador de Misil gran y hermoso,
MISSILE_049_WORD,적은 체력의 적을 \n즉시 처치한다,Excute low health enemy,Excute low health enemy,少ない体力の敵\nすぐに処置する,EXCUTE低的健康敌人,EXCUTE低的健康敵人,Excute baja enemigo de la salud,Excute enemigo de la salud baja,
MISSILE_050_WORD,관통형 탄두를 탑재한 미사일,A missile with a penetration warhead,A missile with a penetration warhead,貫通型弾頭を搭載したミサイル,具有穿透弹头导弹,具有穿透彈頭導彈,Un misil con una ojiva de penetración,Un misil con una ojiva de penetración,
MISSILE_051_WORD,굉장히 좋은 대화수단,Great Communicator,Great Communicator,とても良い会話の手段,伟大的沟通者,偉大的溝通者,gran comunicador,gran comunicador,
MISSILE_052_WORD,,,,,,,,,
MISSILE_053_WORD,닉값하는 미사일,Derserve it's name,Derserve it's name,ニクガプするミサイル,Derserve它的名字,Derserve它的名字,Lo mereces su nombre,Lo merece su nombre,
MISSILE_054_WORD,두유노더웨이,Do U know the wae?,Do you know the way?,二ユノよりウェイ,你知道的方式？,你知道的方式？,¿Sabes el camino?,¿Sabes el camino?,
MISSILE_055_WORD,But Does it Djent?,But Does it Djent?,But Does it D jent?,But Does it Djent？,但是否Ð简特？,但是否Ð簡特？,"Pero, ¿D jent?","Pero, ¿D jent?",
MISSILE_056_WORD,둠피스트를 개조한 미사일,Doomfist looking Missile,Doom Fist looking Missile,ドゥームフィストを改造したミサイル,末日拳寻找导弹,末日拳尋找導彈,Condenación Puño en busca de misiles,Misil remodelado de puño de muerte,
MISSILE_057_WORD,퀘스트: 유물을 모아라,Quest: Collect Artifact,Quest: Collect Relics,クエスト：アーティファクトを集めよう,任务：收集文物,任務：收集文物,Quest: Recoger las reliquias,búsqueda:recoge las reliquias,
MISSILE_058_WORD,디아블로 슬레이어,Diablo slayer,Diablo slayer,ディアブロスレイヤー,暗黑杀手,暗黑殺手,matador Diablo,matador Diablo,
MISSILE_059_WORD,보스 체력을 감소시킨다,Boss health is reduced,Boss Health is reduced,ボスの体力を減らす,老板卫生减小,老闆衛生減小,Jefe Salud se reduce,Se reduce salud de Jefe,
,,,,,,,,,
PARTS,부품,Component,Component,成分,零件,零件,Componente,Componente,
,,,,,,,,,
SKILL_000_NAME,크고 아름다운 미사일,Big Beautiful Missile,Big Beautiful Missile,大きな美しいミサイル,大美女导弹,大美女導彈,Gran misiles Hermosa,Misil gran y hermoso,
SKILL_001_NAME,시체 줍기,Corpse Rooting,Corpse Rooting,死体拾い,尸体生根,屍體生根,cadáver de enraizamiento,Tomar cadáver,
SKILL_002_NAME,융단 폭격,Massive Bombard,Massive Bombard,絨毯爆撃,大规模炮击,大規模砲擊,masiva Bombard,bombardeo por saturación,
SKILL_003_NAME,양손 바주카,Dual Launcher,Dual Launcher,両手バズーカ,双启动,雙啟動,doble Lanzador,doble Lanzador,
SKILL_004_NAME,약물 중독자,Drug Junkie,Drug Junkie,薬物中毒者,药物吸毒者,藥物吸毒者,drogadicto de la droga,envenenamiento medicinal,
SKILL_005_NAME,전쟁의 함성,War Cry,War Cry,戦争の叫び,战争的呐喊,戰爭的吶喊,Grito de guerra,Grito de guerra,
SKILL_006_NAME,미니응징자,Mini Punisher,Mini Punisher,ミニ報復者,迷你处罚,迷你處罰,Mini Punisher,conquistador pequeño,
SKILL_007_NAME,정신 가속,Mind Acceleration,Mind Acceleration,精神加速,思维加速,思維加速,mente Aceleración,mente Aceleración,
,,,,,,,,,
SKILL_000_WORD_A,,,,,,,,,
SKILL_001_WORD_A,[FFA83A],For [FFA83A],For [FFA83A],[FFA83A],对于[FFA83A],對於[FFA83A],Para [FFA83A],Para [FFA83A],
SKILL_002_WORD_A,[FFA83A],For [FFA83A],For [FFA83A],[FFA83A],对于[FFA83A],對於[FFA83A],Para [FFA83A],Para [FFA83A],
SKILL_003_WORD_A,[FFA83A],For [FFA83A],For [FFA83A],[FFA83A],对于[FFA83A],對於[FFA83A],Para [FFA83A],Para [FFA83A],
SKILL_004_WORD_A,[FFA83A],For [FFA83A],For [FFA83A],[FFA83A],对于[FFA83A],對於[FFA83A],Para [FFA83A],Para [FFA83A],
SKILL_005_WORD_A,[FFA83A],For [FFA83A],For [FFA83A],[FFA83A],对于[FFA83A],對於[FFA83A],Para [FFA83A],Para [FFA83A],
,,,,,,,,,
SKILL_000_WORD_B,[FFA83A]미사일 공격력의 ,[FFA83A]Fire huge missile dealing,[FFA83A]Fire huge missile dealing,[FFA83A]ミサイル攻撃力の,[FFA83A]火导弹巨额交易,[FFA83A]火導彈巨額交易,[FFA83A] Incendio enorme tráfico de misiles,[FFA83A] Incendio enorme tráfico de misiles,
SKILL_001_WORD_B,"초[-] 동안, 미사일이 피해를 입힐때마다 [FFA83A]미네랄을 ","seconds[-], When Missile hit demon, collect [FFA83A]","seconds[-], When Missile hit demon, collect [FFA83A]",秒[-]の間に、ミサイルがダメージを与えるたびに、[FFA83A]ミネラルを,秒[-]，当导弹击中恶魔，收集[FFA83A],秒[-]，當導彈擊中惡魔，收集[FFA83A],"segundos [-], Cuando misil alcanzó demonio, recoger [FFA83A]","segundos [-], Cuando misil alcanzó demonio, recoger [FFA83A]",
SKILL_002_WORD_B,"초[-] 동안, [FFA83A]미사일 공격력의 ","seconds[-], Bombard missiles dealing [FFA83A]","seconds[-], Bombard missiles dealing [FFA83A]",秒[-]の間に、[FFA83A]ミサイル攻撃力の,秒[-]，重庆大轰炸导弹对付[FFA83A],秒[-]，重慶大轟炸導彈對付[FFA83A],"segundos [-], misiles Bombard tratan [FFA83A]","segundos [-], misiles Bombard tratan [FFA83A]",
SKILL_003_WORD_B,"초[-] 동안, 숨겨둔 바주카를 사용해 미사일을 2발씩 발사한다.","seconds[-], Use hidden launcher to fire additional missile.","seconds[-], Use hidden launcher to fire additional missile.",秒[-]の間、隠しバズーカを使用して、ミサイルを2発ずつ発射する。,秒[-]，使用隐藏的发射火额外的导弹。,秒[-]，使用隱藏的發射火額外的導彈。,"segundos [-], utilizar el lanzador de misiles oculto al fuego adicional.","segundos [-], usar el lanzador de misiles ocultados por adcional.",
SKILL_004_WORD_B,"초[-] 동안, 무조건 치명타가 발생하는 [FFA83A]스팀팩을 사용하며 치명타 피해가 ","seconds[-], Instantly use Stimpack with Critical Dmg increased [FFA83A]","seconds[-], Instantly use Stimpack with Critical Damage increased [FFA83A]",秒[-]の間に、無条件クリティカルが発生する[FFA83A]ドーピングを使用しクリティカルダメージが,秒[-]，立即使用兴奋剂与暴击伤害增加[FFA83A],秒[-]，立即使用興奮劑與暴擊傷害增加[FFA83A],"segundos [-], utilizan de forma instantánea estimulante con daño crítico aumentado [FFA83A]","segundos [-], instantemente usar estimulante con daño crítico aumentado [FFA83A]",
SKILL_005_WORD_B,"초[-] 동안, 모든 마린들이 감명받아 [FFA83A]공격속도가 ","seconds[-], Marines are inspired and their Attack Speed are increased [FFA83A]","seconds[-], Marines are inspired and their Attack Speed are increased [FFA83A]",秒[-]の間、すべてのマリンが感銘受け[FFA83A]攻撃速度が,秒[-]，海军陆战队正在鼓舞和攻击速度增加[FFA83A],秒[-]，海軍陸戰隊正在鼓舞和攻擊速度增加[FFA83A],"segundos [-], los marines se inspiran y su velocidad de ataque se incrementan [FFA83A]","segundos [-], los marines se inspiran y su velocidad de ataque se incrementan [FFA83A]",
,,,,,,,,,
SKILL_000_WORD_C,%의 피해[-]를 입히는 거대한 미사일을 발사한다.,% of Missile Dmg.[-],% of Missile Damage.[-],％のダメージ[-]を覆わ巨大なミサイルを発射する。,％导弹伤。[-],％導彈傷。 [-],% De misiles daños. [-],% De misiles daños. [-],
SKILL_001_WORD_C,%씩 획득[-]한다.,% additional Mineral.[-],% additional Mineral.[-],％ずつ取得[-]である。,％的额外矿物。[-],％的額外礦物。 [-],% Mineral adicional. [-],% Mineral adicional. [-],
SKILL_002_WORD_C,%의 피해[-]를 입히는 미사일을  폭격한다.,% of Missile Dmg.[-],% of Missile Damage.[-],％のダメージ[-]を加えるミサイルを爆撃する。,％导弹伤。[-],％導彈傷。 [-],% De misiles daños. [-],% De misiles daños. [-],
SKILL_003_WORD_C,,,,,,,,,
SKILL_004_WORD_C,% 증가[-]한다.,[-],[-],％増加[-]である。,[-],[-],[-],[-],
SKILL_005_WORD_C,% 증가[-]한다.,[-],[-],％増加[-]である。,[-],[-],[-],[-],
,,,,,,,,,
UNIT_000_NAME,총알받이,Fresh Meat,Fresh Meat,弾丸受け,鲜肉,鮮肉,Carne fresca,escudo humano,
UNIT_001_NAME,거미 전차,Spider Tank,Spider Tank,クモ電車,蜘蛛坦克,蜘蛛坦克,araña tanque,tanque araña,
UNIT_002_NAME,드론,Drone,Drone,ドローン,无人机,無人機,Zumbido,Zumbido,
UNIT_003_NAME,고기방패,Meat Shield,Meat Shield,肉盾,肉盾,肉盾,Escudo de carne,Escudo de carne,
UNIT_004_NAME,박격포,Mortar,Mortar,モルタル,砂浆,砂漿,Mortero,Mortero,
UNIT_005_NAME,프리데터,Predator,Predator,フリーデト,捕食者,捕食者,Depredador,Depredador,
UNIT_006_NAME,그런트,Grunt,Grunt,グロントゥ,咕噜,咕嚕,Gruñido,Gruñido,
